Subject	Total	REC_2	REC_3	REC_9	REC_1	REC_6	REC_8	REC_11	REC_7	REC_4	REC_5	REC_12	REC_13	REC_10
N2158	12	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No
N5436	16	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	No
CBFE6	6	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	Yes
C4FB5	9	No	Yes	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No
CF2AC	8	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	No	No	No
C09B7	7	No	No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No	No
CE001	8	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
C29F5	10	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No
C0C1C	9	No	No	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No
C0E4F	10	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No
CE240	9	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No
C7049	7	No	No	No	No	Yes	No	No	No	No	No	No	No	No
C83E3	10	No	No	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	No	No
C9B72	8	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No
C45F4	12	No	No	No	No	Yes	Yes	No	No	No	No	No	No	Yes
C7BA1	13	No	Yes	No	No	Yes	No	Yes	No	No	No	Yes	Yes	No
C3AED	11	No	No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No
C84BC	12	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No
CE2E7	10	No	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	No	No
CE068	13	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No	No	Yes	No
C36B6	12	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No
C5E1F	14	No	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No
C572C	13	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	No
C19E5	11	Yes	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	No	No
CEF3C	10	No	No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	No
CF3A8	13	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	No
C6732	11	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No
C4692	13	No	No	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	No
C7D88	13	No	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes
C9D1D	14	No	Yes	No	No	No	No	No	No	Yes	Yes	No	No	Yes
CE827	14	Yes	Yes	No	No	No	No	No	No	No	Yes	No	Yes	No
CA3B4	12	No	No	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No
CD4E3	12	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No
CE93B	12	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No
C94DD	12	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	No
C01D8	15	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No
C1497	16	No	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No	No	Yes
C09C2	13	No	No	No	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No
C0522	13	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No
CCA49	12	No	No	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No
CB127	9	No	No	No	No	No	Yes	Yes	No	Yes	No	No	Yes	No
C36AD	11	No	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No
C7E1B	11	Yes	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No
C99C0	11	Yes	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No
C53CC	11	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	Yes	No
CC909	13	No	Yes	Yes	No	No	Yes	No	Yes	No	Yes	No	No	No
C3AB2	13	No	No	No	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No
CB1FF	13	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	No	No
CC7D5	14	No	No	No	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	No
CAEBF	13	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	Yes	No
CA55D	12	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	No	No
C3D7C	11	Yes	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No
C8226	16	No	No	No	No	Yes	Yes	Yes	No	Yes	No	No	Yes	No
CF47A	13	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	No
CD93C	14	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	No	No
C94F1	13	No	No	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No
CC5BA	9	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	No
CB641	9	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No
C7308	8	No	No	No	Yes	No	Yes	No	Yes	No	No	No	No	No
C8AF1	10	No	No	No	Yes	No	Yes	No	Yes	No	No	No	No	No
CC034	15	No	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No
CDF47	16	Yes	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No
C0427	14	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	No
C5BFA	8	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No	No
C3B77	12	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No
C86B4	19	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	No	No	No
C519E	14	Yes	Yes	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No
C5658	32	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	No	No	No
C3C3E	19	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No
C786E	23	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No
CAC86	24	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No
CC798	17	Yes	Yes	Yes	Yes	No	No	No	Yes	No	No	Yes	No	No
CA0D9	18	Yes	No	Yes	Yes	No	No	No	Yes	No	No	Yes	No	No
CFF9E	18	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No
CD99E	15	Yes	No	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No
C789B	15	Yes	No	Yes	No	No	Yes	Yes	Yes	No	No	No	Yes	No
C8C33	26	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No
CF966	21	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	No	No	No
C1BCD	16	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No
C5BB5	17	Yes	No	No	Yes	No	No	No	Yes	Yes	No	No	No	No
C31F8	20	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No
C121D	7	Yes	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No
CA709	22	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No
C8088	19	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No
CF15A	17	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No
CEAF1	18	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No
C121E	18	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	No	No
C7D1D	14	No	Yes	No	Yes	No	No	No	Yes	Yes	No	No	No	No
CFA20	27	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No
C1571	15	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No
C911C	14	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	Yes	No
CB69C	16	Yes	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No
C1E3F	24	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	No
CB655	13	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No
C999A	13	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No
C24F3	13	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No
C63EE	22	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No
CF291	25	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No
C6804	13	No	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No
C5D9D	14	No	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No
C4AF3	21	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	No
C04D3	17	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No
CA132	21	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No
CBE2E	20	Yes	No	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No
CBA2E	18	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No
C1CE4	7	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No
CEEA5	26	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No
C48B6	15	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
CBC29	14	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	No	No	No	No
C16C6	26	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No
CC9DC	22	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No
C138B	20	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No
C14DA	26	Yes	No	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No
C1EE6	18	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No
C7ABD	10	Yes	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No
C4C56	14	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	No	No	Yes	No
C8EC5	10	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No
